seed,dataset,min_epoch,min,max,delta,n_epochs
0,bdd,1,29.489,42.016,12.526999999999997,30
1,bdd,1,26.612,38.495,11.883,30
2,bdd,1,25.781,37.428,11.646999999999998,30
3,bdd,1,29.31,42.188,12.878000000000004,30
4,bdd,1,26.516,40.908,14.392000000000003,30
0,bdd-ema,1,29.385,41.469,12.084,30
1,bdd-ema,1,26.062,38.681,12.618999999999996,30
2,bdd-ema,1,24.112,36.633,12.521000000000004,30
3,bdd-ema,1,28.667,41.411,12.744,30
4,bdd-ema,1,26.141,40.273,14.132000000000005,30
0,cityscapes,1,34.374,48.999,14.625,30
1,cityscapes,1,30.32,45.519,15.198999999999998,30
2,cityscapes,1,31.892,45.846,13.953999999999997,30
3,cityscapes,1,31.457,46.909,15.451999999999998,30
4,cityscapes,1,32.443,46.274,13.831000000000003,30
0,cityscapes-ema,1,34.623,47.981,13.358000000000004,30
1,cityscapes-ema,1,29.14,45.82,16.68,30
2,cityscapes-ema,1,31.345,44.666,13.320999999999998,30
3,cityscapes-ema,1,30.883,46.768,15.885000000000002,30
4,cityscapes-ema,1,31.993,46.732,14.739,30
