window,dataset_key,dataset,method,num_seeds,early_mean,early_mean_std,early_auc,early_auc_std,early_peak,early_peak_std,early_peak_epoch,early_peak_epoch_std,global_peak,global_peak_std,relative_early_peak,relative_early_peak_std,drop_after_early_peak,drop_after_early_peak_std,early_gain,early_gain_std,T90,T90_std,delta_early_mean_vs_baseline,delta_early_auc_vs_baseline,delta_early_peak_vs_baseline,delta_T90_vs_baseline
1-5,cityscapes,Cityscapes / No EMA,Single Encoder,5,38.31556,1.3004614836280233,38.567775,1.4988099454233703,43.3432,1.363067188366003,4.8,0.39999999999999997,47.9524,1.3047383799061028,0.9040288699558265,0.021547524066986158,0.13880000000000053,0.277600000000001,11.7954,3.163422551604513,5.6,0.48989794855663565,0.0,0.0,0.0,0.0
1-5,cityscapes,Cityscapes / No EMA,Dual Encoder,3,42.44,0.9927160453355549,42.965250000000005,0.8965386215886115,46.64033333333333,1.0654971713816135,4.666666666666667,0.4714045207910317,49.02866666666667,0.64686800989245,0.9513124176941797,0.019102926892609392,0.890666666666668,1.2595928795536386,10.821333333333335,1.4383632673594278,3.6666666666666665,0.9428090415820634,4.12444,4.397475000000007,3.2971333333333277,-1.9333333333333331
1-5,cityscapes-ema,Cityscapes / EMA,Single Encoder,5,38.60856,0.955297385320402,38.895574999999994,1.0318238179311436,43.294200000000004,1.2296484700921644,5.0,0.0,47.732600000000005,0.9688355071940739,0.9069801135599965,0.01643401419148621,0.0,0.0,11.667399999999999,1.8244307166894547,5.2,0.7483314773547882,0.0,0.0,0.0,0.0
1-5,cityscapes-ema,Cityscapes / EMA,Dual Encoder,3,42.29840000000001,0.8699959080363555,42.616125000000004,0.9192838924945843,46.724333333333334,0.9981390462032628,5.0,0.0,48.50966666666667,0.25538511224336574,0.963140573578411,0.01705449732533994,0.0,0.0,11.393666666666668,0.6605862715968449,3.3333333333333335,0.4714045207910317,3.689840000000011,3.72055000000001,3.4301333333333304,-1.8666666666666667
1-5,bdd,BDD / No EMA,Single Encoder,5,32.67776,2.142339070828893,32.874575,2.274819339804813,36.9102,1.688458160571356,4.8,0.39999999999999997,41.940999999999995,1.489627604470324,0.8800759835492336,0.0276419101669942,0.056800000000001204,0.1136000000000024,9.925799999999999,1.3705662187577812,6.0,0.6324555320336759,0.0,0.0,0.0,0.0
1-5,bdd,BDD / No EMA,Dual Encoder,3,38.20086666666666,0.9300291656119656,38.59225,0.8482924822351459,41.918666666666674,1.1022390343699913,4.666666666666667,0.4714045207910317,44.472,0.832575522099947,0.9425697973770095,0.016410288472152586,0.5993333333333339,0.8475853283822758,9.368000000000002,1.0205060836010111,4.333333333333333,0.4714045207910317,5.5231066666666635,5.717675,5.008466666666671,-1.666666666666667
1-5,bdd-ema,BDD / EMA,Single Encoder,5,32.663239999999995,1.8826394722304094,32.85165000000001,1.9801958290154025,36.6814,1.926527300611128,5.0,0.0,41.276599999999995,1.3526478625274203,0.8884290445119506,0.031191212526353075,0.0,0.0,9.543599999999998,1.1243477398029493,5.8,0.7483314773547882,0.0,0.0,0.0,0.0
1-5,bdd-ema,BDD / EMA,Dual Encoder,3,37.9198,0.9076987312245512,38.17158333333333,0.954222247289501,41.681999999999995,0.8235034911887142,5.0,0.0,43.47933333333333,0.9527452731740813,0.9587102222654568,0.0029993531354054856,0.0,0.0,9.538666666666666,0.19895951570329323,3.0,0.0,5.2565600000000074,5.319933333333324,5.000599999999999,-2.8
1-10,cityscapes,Cityscapes / No EMA,Single Encoder,5,42.1358,1.3432195486963394,42.48078888888889,1.4230406019558326,47.533,1.4887515575138799,8.0,1.0954451150103321,47.9524,1.3047383799061028,0.9911879120650873,0.010281542414546312,0.8802000000000006,0.6353951211647758,15.243800000000002,2.7454963412833036,5.6,0.48989794855663565,0.0,0.0,0.0,0.0
1-10,cityscapes,Cityscapes / No EMA,Dual Encoder,3,44.946133333333336,0.7708660252526922,45.348277777777774,0.8153967311794357,49.02866666666667,0.64686800989245,8.0,1.632993161855452,49.02866666666667,0.64686800989245,1.0,0.0,1.3033333333333321,1.355260696528735,12.797000000000002,1.6360030562318677,3.6666666666666665,0.9428090415820634,2.8103333333333325,2.867488888888886,1.495666666666672,-1.9333333333333331
